att48uniform GREEDY 50 10 sa ReduceTime 10 6	0	2	3	1	1	0	2	0.24754901960784328	0.2687007157205162	0.8875402815237978	1.0	0.18181818181818182	
att48uniform VN 50 10 sa ReduceTime 10 6	0	1	3	1	1	0	2	0.0	0.2810853167986462	0.9178137508258932	0.0	0.09090909090909091	
att48uniform NSGA2 50 10 sa ReduceTime 10 6	0	3	3	1	1	0	2	0.1983330497200852	0.060099496980907156	0.0	1.0	0.6363636363636364	
att48uniform SA 50 10 sa ReduceTime 15 6	0	0	3	1	1	1	2	0.0	0.3720955066608208	1.0	0.0	0.1	
att48uniform GREEDY 50 10 sa ReduceTime 15 6	0	2	3	1	1	1	2	0.24754901960784328	0.22915040468374714	0.8849780356832253	1.0	0.2	
att48uniform VN 50 10 sa ReduceTime 15 6	0	1	3	1	1	1	2	0.0	0.24153568877654866	0.9159412459152291	0.0	0.1	
att48uniform NSGA2 50 10 sa ReduceTime 15 6	0	3	3	1	1	1	2	0.09467421566571627	0.02608736833848586	0.06360891234553101	1.0	0.6	
att48uniform SA 50 10 sa ReduceTime 20 6	0	0	3	1	1	2	2	0.0	0.3756627193522925	1.0	0.0	0.1111111111111111	
att48uniform GREEDY 50 10 sa ReduceTime 20 6	0	2	3	1	1	2	2	0.24754901960784328	0.2244102987927484	0.8781475408936261	1.0	0.2222222222222222	
att48uniform VN 50 10 sa ReduceTime 20 6	0	1	3	1	1	2	2	0.0	0.2371666079015052	0.9109494786018577	0.0	0.1111111111111111	
att48uniform NSGA2 50 10 sa ReduceTime 20 6	0	3	3	1	1	2	2	0.21775525099581905	0.028134395401688297	0.08298083624028886	1.0	0.5555555555555556	
att48uniform GREEDY 50 15 sa ReduceTime 10 2	0	2	3	2	1	0	0	0.24754901960784328	0.37568255317415894	0.890396472450441	1.0	0.028169014084507043	
att48uniform VN 50 15 sa ReduceTime 10 2	0	1	3	2	1	0	0	0.24754901960784328	0.3525931551207702	0.8428789477651315	1.0	0.028169014084507043	
att48uniform NSGA2 50 15 sa ReduceTime 10 2	0	3	3	2	1	0	0	0.08926089104525113	0.007463265902015691	0.0	1.0	0.9436619718309859	
att48uniform GREEDY 50 15 sa ReduceTime 15 2	0	2	3	2	1	1	0	0.24754901960784328	0.3826183298478759	0.890396472450441	1.0	0.029850746268656716	
att48uniform VN 50 15 sa ReduceTime 15 2	0	1	3	2	1	1	0	0.0	0.43566502397937196	1.0	0.0	0.014925373134328358	
